Customer ID,Gender,Age,Subscription Plan,Contract Type,Payment Method,Monthly Fee,Total Spent,Churn
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Male,69,Basic,Yearly,PayPal,80.17,1683.57,Yes
23b8c1e9-3924-46de-beb1-3b9046685257,Male,40,Premium,Yearly,Bank Transfer,40.03,320.24,No
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,Female,19,Standard,Quarterly,Debit Card,26.36,553.56,No
972a8469-1641-4f82-8b9d-2434e465e150,Female,39,Basic,Monthly,Credit Card,57.23,572.3,Yes
17fc695a-07a0-4a6e-8822-e8f36c031199,Female,33,Premium,Quarterly,Debit Card,80.67,1532.73,No
9a1de644-815e-46d1-bb8f-aa1837f8a88b,Female,20,Basic,Yearly,PayPal,25.35,177.45,Yes
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,Male,31,Standard,Quarterly,Credit Card,11.44,22.88,No
6b65a6a4-8b81-48f6-b38a-088ca65ed389,Male,24,Basic,Yearly,PayPal,91.84,367.36,Yes
47378190-96da-4dac-b2ff-5d2a386ecbe0,Female,19,Standard,Quarterly,Debit Card,59.2,1302.4,Yes
c241330b-01a9-471f-9e8a-774bcf36d58b,Female,43,Standard,Quarterly,Debit Card,93.4,1494.4,No
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,Female,40,Basic,Quarterly,Bank Transfer,86.01,1118.13,Yes
371ecd7b-27cd-4130-8722-9389571aa876,Male,41,Standard,Monthly,Bank Transfer,64.63,840.19,Yes
1a2a73ed-562b-4f79-8374-59eef50bea63,Male,62,Basic,Monthly,PayPal,48.11,48.11,Yes
5be6128e-18c2-4797-a142-ea7d17be3111,Female,28,Premium,Monthly,Bank Transfer,75.61,75.61,No
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,Female,56,Standard,Monthly,Bank Transfer,87.68,701.44,No
759cde66-bacf-43d0-8b1f-9163ce9ff57f,Male,65,Premium,Yearly,Debit Card,39.27,117.81,No
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,Female,44,Premium,Monthly,PayPal,20.76,290.64,No
4b0dbb41-8d52-48f1-942c-3fe860e7a113,Male,43,Premium,Yearly,Debit Card,54.44,489.96,No
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,Female,59,Basic,Yearly,PayPal,90.62,1540.54,No
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,Female,21,Standard,Monthly,PayPal,64.4,966,No
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,Female,30,Premium,Yearly,PayPal,24.51,49.02,No
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,Female,23,Standard,Quarterly,PayPal,39.19,901.37,No
ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,Male,50,Basic,Monthly,PayPal,48.44,968.8,No
7412b293-4729-4739-a14f-f3d719db3ad0,Male,56,Standard,Yearly,Credit Card,53.63,53.63,Yes
29a3b2e9-5d65-4441-9588-42dea2bc372f,Female,41,Premium,Yearly,Debit Card,29.69,267.21,No
ab9099a4-35a2-40ae-9af3-05535ec42e08,Female,66,Standard,Quarterly,PayPal,54.75,930.75,Yes
aefcfad8-efc8-4849-b3aa-7efe4458a885,Female,34,Premium,Monthly,Debit Card,55.24,1215.28,Yes
a28defe3-9bf0-4273-9247-6f57a5e5a5ab,Female,50,Basic,Yearly,Debit Card,23.04,276.48,No
3eabedcb-baa8-4dd4-88bd-64072bcfbe01,Female,49,Premium,Yearly,PayPal,43.27,735.59,No
451b4cf3-6123-4df7-b656-af7229d4beef,Female,22,Standard,Quarterly,Debit Card,58.22,931.52,No
b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,Male,23,Basic,Yearly,Bank Transfer,39.34,157.36,Yes
5304317f-af42-412f-b838-b3268e944239,Male,36,Premium,Monthly,Credit Card,45.78,320.46,No
0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,Male,28,Basic,Monthly,Debit Card,93.22,932.2,Yes
ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,Female,33,Standard,Monthly,Bank Transfer,57.67,115.34,No
10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,Female,29,Basic,Monthly,Bank Transfer,66.98,602.82,Yes
9132b63e-f162-47e4-a9c3-49e03602f8ac,Male,65,Premium,Quarterly,Bank Transfer,89.9,1798,Yes
366eb16f-508e-4ad7-b7c9-3acfe059a0ee,Female,53,Standard,Quarterly,PayPal,43.51,130.53,No
e27a984d-6548-41d0-bfcd-9eb1a7cad415,Female,63,Standard,Quarterly,Debit Card,50.36,453.24,Yes
24933b83-7577-40a9-a491-f0b2ea1fca65,Female,50,Standard,Monthly,Bank Transfer,77.18,617.44,No
beb79919-3f22-4af8-a3be-d01d43cf2fde,Male,50,Premium,Yearly,Debit Card,33.87,474.18,No
bf3c4c06-4343-48bc-89fa-6a688fb5d27b,Female,62,Premium,Quarterly,Bank Transfer,66.8,133.6,No
956269f0-e5d7-4875-adad-d6c795a76d79,Male,45,Premium,Monthly,Credit Card,30.72,491.52,Yes
ff50bde4-3825-47b8-9cab-cc97663f1c97,Male,66,Basic,Quarterly,Credit Card,35.16,210.96,No
7e570ddf-8270-40a8-a369-b584ff5e9ff0,Male,54,Basic,Monthly,Debit Card,97,291,No
dc713d96-0c0f-4195-817a-f08a1745d6d8,Female,38,Premium,Monthly,Bank Transfer,53.68,966.24,No
28f49481-a0a0-4dc4-a720-9bdf1c11f735,Male,20,Standard,Quarterly,Bank Transfer,70.4,1619.2,Yes
98ae4334-6c12-4ce8-ae34-0454cac5b68c,Male,59,Standard,Quarterly,Credit Card,86.38,777.42,No
988c24c9-61b1-4d22-a280-1c4510435a10,Female,56,Basic,Quarterly,PayPal,47.78,860.04,No
405cacec-8774-49a9-b7d2-1e02ff01cf99,Male,24,Basic,Monthly,Bank Transfer,68.5,959,No
f143262f-dc5c-4eed-8da0-365bf89897b9,Female,68,Premium,Yearly,Bank Transfer,62.1,1428.3,No
1d53434b-b881-49b9-ae27-0da702f06b90,Male,42,Standard,Yearly,Debit Card,35.79,787.38,Yes
c0398710-8976-4334-a281-7efdae849217,Female,23,Premium,Quarterly,PayPal,21.44,21.44,No
5715bd6f-a416-4293-84c2-e2e3444ea7c8,Female,61,Basic,Yearly,Bank Transfer,85.78,1715.6,No
287d06ca-6f4c-469a-8b22-d3081c8eaee9,Male,57,Basic,Quarterly,Bank Transfer,74.31,1411.89,No
b8db0672-f42d-47cc-80d4-af5974273ca3,Male,36,Standard,Yearly,Debit Card,12.28,257.88,Yes
f8cda88b-436d-46e2-b83c-fe0be037e5ed,Male,26,Basic,Monthly,Debit Card,92.37,1385.55,Yes
81f76d1c-2dbc-4134-830f-f46e8026695f,Female,65,Basic,Monthly,Credit Card,67.44,472.08,No
a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,Male,39,Basic,Yearly,PayPal,32.3,516.8,Yes
81f631d4-a392-41a7-9777-a4774c66e0a8,Female,46,Standard,Monthly,PayPal,13.67,191.38,No
5fb8d16c-2720-497d-b2eb-d6899be578c7,Male,29,Standard,Quarterly,Bank Transfer,82.62,330.48,Yes
f4188f3f-8a14-4e62-a95b-4715c333e861,Female,54,Premium,Quarterly,Debit Card,95.42,381.68,Yes
eb2263dd-87c5-421e-ac24-a3c5c754108f,Male,27,Standard,Yearly,Debit Card,55.09,275.45,No
7d154385-52fb-443b-9954-6eb400257ad1,Female,41,Premium,Quarterly,Credit Card,88.05,1761,No
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Female,52,Basic,Monthly,Credit Card,59.11,295.55,No
ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,Male,50,Standard,Yearly,Bank Transfer,34.66,415.92,Yes
3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,Female,68,Standard,Yearly,PayPal,16.41,131.28,No
14296c07-f26b-4776-913e-4de2e0c53cb8,Female,43,Standard,Quarterly,PayPal,35.37,141.48,No
d0e6e660-7c69-4ee1-bb5e-4bcf15ed6269,Female,62,Premium,Monthly,Bank Transfer,76.16,1599.36,No
885f6e66-c2b6-42c5-ba5d-310011b7e948,Female,27,Basic,Monthly,Bank Transfer,82.62,1404.54,No
a8e56e0c-20de-435d-a031-d750c40db9b4,Female,35,Basic,Yearly,Bank Transfer,40.67,203.35,Yes
2a45c2ab-8cbf-4db0-b264-accc79ac1b1e,Male,30,Premium,Monthly,PayPal,19.28,327.76,No
9b49bd26-df57-459a-8715-a10343dac043,Female,65,Basic,Quarterly,Credit Card,90.6,1540.2,Yes
edcd465e-3638-4821-b6e0-7cc06c52c49f,Male,58,Premium,Monthly,PayPal,96.11,1922.2,No
b09b2a5c-badc-432a-8159-0f538a0f4efb,Male,33,Basic,Monthly,PayPal,64.22,1284.4,No
66245bfa-4fcc-439a-b683-d2e6337ea2df,Female,40,Basic,Yearly,Credit Card,93.78,656.46,No
5f987c71-a65e-488e-abf3-ad39fec21bbe,Female,22,Premium,Yearly,Credit Card,41.58,748.44,No
7394988f-847f-49b4-a64d-1bcb702753a1,Male,27,Standard,Monthly,Credit Card,85.46,1196.44,No
1064005c-3985-43cf-bf76-be1d1efa2197,Female,26,Standard,Yearly,Debit Card,23.19,115.95,Yes
8dcdcd03-969b-4662-8562-8059568cc69b,Female,65,Basic,Monthly,Debit Card,83.15,582.05,No
01d74256-3860-4ab6-96a4-02f23ae8cc93,Female,53,Standard,Yearly,PayPal,79.94,1758.68,No
0f1259e0-a18f-46b6-b535-106e122c9a56,Female,43,Premium,Yearly,Debit Card,54.34,706.42,No
080aadfb-e7c9-4b26-9141-25c63a9bedd4,Female,37,Basic,Yearly,Credit Card,76.98,230.94,No
839fbc50-1223-4513-9496-f63cdc1110c1,Female,66,Basic,Monthly,Debit Card,49.27,591.24,No
7c441fe7-ab42-40a7-874a-493b3ceddf2d,Male,64,Basic,Quarterly,Credit Card,99.37,496.85,Yes
b92da22b-21df-406f-8a0b-3c3336d8393a,Male,37,Basic,Quarterly,PayPal,66.65,933.1,Yes
93829b43-922f-415a-a1e3-db63ef7ddc76,Male,20,Premium,Monthly,PayPal,35.29,564.64,No
7914c120-c8dc-419f-be35-11287900f7f9,Female,41,Basic,Quarterly,Bank Transfer,68.22,545.76,No
1825bc54-30be-445f-a835-14f2ceb81f9d,Female,45,Basic,Monthly,Bank Transfer,98.76,2172.72,Yes
5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,Male,50,Basic,Monthly,Bank Transfer,34.39,447.07,No
dd2467ac-778e-4db3-a93d-ffbc6c6fa611,Male,23,Standard,Yearly,Bank Transfer,62.3,124.6,Yes
a748dbcf-ac61-4e63-8dde-29a6baa4b71a,Female,67,Premium,Monthly,Credit Card,12.37,12.37,No
0f844fef-1931-49ee-a56c-0941fbf24050,Female,49,Premium,Monthly,PayPal,63.47,1396.34,No
ccf3a171-56dc-4907-ba6c-34ab6712303a,Male,30,Basic,Quarterly,Credit Card,47.33,47.33,Yes
310c0c00-3fa7-4104-9bf9-0e27dc96925e,Male,23,Basic,Monthly,PayPal,77.49,232.47,No
23e2fcb4-72d8-467d-894a-05e430b187ef,Male,54,Standard,Quarterly,PayPal,32.26,451.64,Yes
766ecb15-474e-4c19-aef9-12766c006f61,Male,68,Basic,Monthly,Bank Transfer,30.58,519.86,No
134c6c92-ec5b-427c-9fde-4fbf3ff350bf,Female,45,Premium,Yearly,Debit Card,54.83,1206.26,No
db20a56e-dc81-4fe7-8eda-8bbb71710434,Male,67,Basic,Quarterly,Bank Transfer,60.48,1028.16,Yes
a6f2f7b8-0cf3-4b58-9910-8be58ce21ea3,Male,40,Premium,Monthly,Credit Card,67.54,742.94,Yes
03c72ba8-d605-4770-8a63-f881ffd0f9d5,Female,51,Standard,Quarterly,Debit Card,67.3,1009.5,No
c0e9ab30-ed26-42e9-97e0-11b7f8102383,Male,51,Basic,Quarterly,Credit Card,80.53,1852.19,No
680ac07a-2a93-4d62-bc83-5dc0d9441fa5,Male,22,Basic,Quarterly,Bank Transfer,85.79,1458.43,Yes
dd59ba71-36b8-4481-bb3a-4e3e7c52fa17,Female,22,Standard,Quarterly,Credit Card,41.27,453.97,No
2a25a888-0f02-4ad0-a706-7ef466aa9385,Male,68,Premium,Monthly,PayPal,21.52,236.72,Yes
63f2ae24-fc3d-4348-808d-4127610461e3,Female,21,Basic,Yearly,Bank Transfer,52.66,947.88,No
c8fe3ccd-c8b8-49c6-ad30-49cf43e458fc,Male,36,Basic,Monthly,Debit Card,35.07,771.54,Yes
b253d218-6c4a-47ea-8906-17f2747b6dba,Male,22,Basic,Quarterly,Debit Card,42.78,598.92,No
c88a618e-fed4-457d-bb02-6576f512c4c3,Male,26,Standard,Monthly,PayPal,66.51,997.65,No
7c967f79-b7e9-4aca-a970-65e18e46d534,Male,65,Basic,Monthly,Debit Card,88.15,705.2,No
37bb3eec-4bf5-4b52-b09d-258c27a0c3d7,Male,69,Premium,Yearly,PayPal,93.16,1304.24,No
bc594585-9445-48c0-8ef8-c2d6f7fd5646,Male,31,Standard,Monthly,Debit Card,13.3,252.7,No
504867ba-bf7b-439b-8f9a-ea4b8acd4e10,Male,40,Standard,Yearly,PayPal,12.74,229.32,No
7a0ecfea-958c-49ba-8cd6-20c20ea2622b,Male,68,Premium,Monthly,PayPal,43.96,439.6,No
87f7e1fb-da4b-49ca-ab5c-f46780bacd64,Male,56,Standard,Quarterly,Debit Card,20.78,353.26,No
82010c62-f5f5-4b22-8e8f-a8e0284d82e5,Male,21,Standard,Yearly,Credit Card,54.86,822.9,No
118a9d29-2f92-4996-99f1-95d014822f53,Female,51,Premium,Monthly,Bank Transfer,21.48,193.32,No
dca02eec-acda-4acc-9165-e21098543881,Female,43,Standard,Yearly,Bank Transfer,54.84,329.04,No
f10c718b-1eb0-438a-a75d-d5af3c365296,Male,39,Basic,Quarterly,Debit Card,32.14,128.56,No
94340a03-3f07-4814-91d6-3f78e3e9de99,Female,47,Premium,Yearly,Credit Card,17.22,327.18,Yes
14fcdd54-9e8f-4965-8a2c-827e98326856,Male,53,Premium,Quarterly,Debit Card,61.84,680.24,No
90b2b633-956b-4c0c-a849-9b926b5252e3,Female,66,Standard,Quarterly,PayPal,83.88,167.76,No
42c18a62-ef48-48d5-90fd-9d3f85d51695,Female,43,Premium,Monthly,Bank Transfer,28.46,626.12,No
506e5a9a-b758-488d-ab73-295b344a54b8,Female,50,Basic,Yearly,Credit Card,64.96,389.76,No
21813d25-6552-48a6-83ff-50113d1a85dd,Male,53,Basic,Yearly,PayPal,14.66,263.88,No
750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,Male,40,Standard,Quarterly,Credit Card,71.61,1432.2,Yes
ef8c485b-c07a-40f2-add4-253b50f0fd0a,Male,26,Basic,Monthly,PayPal,52.58,315.48,No
9f044aed-7552-4327-8262-7f7312922f83,Female,48,Basic,Monthly,Debit Card,77.14,1388.52,Yes
19985f15-ff00-4d4d-9020-59e4ff9ab5c2,Female,28,Basic,Quarterly,Bank Transfer,44.13,44.13,No
8181a8cc-3691-47eb-89a2-688b12c136e0,Female,46,Premium,Monthly,Credit Card,28.15,84.45,Yes
5958a499-eeea-463e-a1e8-ac6843e42caf,Male,36,Premium,Quarterly,Debit Card,91.71,1192.23,No
3e896c64-e117-4ac3-919c-4ea3e1805081,Female,57,Premium,Quarterly,Bank Transfer,51.64,309.84,No
702cdd20-2862-48b8-88f4-ef125e9953d2,Male,32,Basic,Monthly,Credit Card,90.96,2092.08,No
4d71c366-b41b-4143-8b10-550cd5704f32,Male,57,Premium,Yearly,PayPal,48.84,146.52,No
ce9e1a11-fcbb-4e59-bbdd-cf7c9c96e9ec,Female,59,Premium,Yearly,Credit Card,54.59,382.13,No
aaf91531-0200-41f0-8768-a84fa76afde6,Male,55,Basic,Monthly,Credit Card,32.36,744.28,Yes
ee87905e-4ca4-45ea-8dfa-6a56d12dbc9a,Female,39,Standard,Quarterly,Credit Card,88.91,88.91,Yes
e0ccedc5-f05d-476e-9a84-a51aa9d3d7c7,Male,48,Premium,Monthly,Bank Transfer,64.36,965.4,No
e3c43657-1d8c-4bac-83b4-09ef2260e70f,Male,46,Premium,Monthly,Debit Card,11.1,210.9,No
27cb6f2a-8da0-4097-be0f-051b1b66b5a9,Female,43,Premium,Yearly,Credit Card,84.41,844.1,No
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,Female,25,Premium,Yearly,Debit Card,95.26,1143.12,No
afffcfd2-341e-440b-97c7-00aab7b56ea7,Female,35,Basic,Monthly,PayPal,75.35,828.85,No
81627cf1-4394-42e6-9a58-7e8aa25d6b29,Female,65,Basic,Monthly,Bank Transfer,68.62,1166.54,No
e87d1c78-e7c4-41c7-8049-7b717d106c60,Female,26,Standard,Yearly,Credit Card,19.38,174.42,No
a2607723-17a0-4f49-8d01-280fd89a40c0,Male,18,Standard,Monthly,Credit Card,24.9,99.6,Yes
0b49452d-46d4-43f3-9450-281c6c6f7633,Male,18,Premium,Quarterly,PayPal,30.47,457.05,No
217d65a0-c568-41cd-9563-f61600e85ece,Male,26,Standard,Monthly,Credit Card,64.33,192.99,No
295d6fbf-430f-401d-bad4-09e2a319dcb4,Male,43,Premium,Quarterly,Debit Card,51.91,103.82,No
b4a69f3c-8d3a-4d99-b11c-21c9bdc14f1f,Female,60,Premium,Yearly,PayPal,32.34,226.38,Yes
1ca3c448-0279-46a6-8f97-97b06d7ce3c9,Male,41,Basic,Monthly,Credit Card,62.25,1369.5,Yes
b0e6a969-e213-42b0-b1ee-dba313432e61,Female,38,Basic,Yearly,Credit Card,96.5,1640.5,No
093923de-8bab-4e3b-a628-6bfbe767dcea,Female,45,Premium,Monthly,Bank Transfer,55.2,55.2,No
8d7248e2-951f-48d0-9e84-f058d5a804eb,Female,40,Premium,Yearly,Bank Transfer,90.82,1543.94,Yes
0ab54bde-20a0-4502-ae06-809725e97977,Female,33,Premium,Quarterly,Credit Card,79.8,1197,No
eededb07-e623-4689-9d59-cd2a4eea04e7,Female,45,Basic,Quarterly,Debit Card,60.37,241.48,Yes
0a368ce7-dc57-4131-b8e1-daa7cbceabde,Male,56,Premium,Quarterly,Debit Card,90.77,181.54,No
ae9bec36-35c7-436c-9b99-62c6e61fecc0,Male,45,Standard,Yearly,Credit Card,46.72,1074.56,Yes
5a8aaeca-1a50-4ec3-aabc-25fa3fe12e47,Male,25,Standard,Monthly,PayPal,61.25,1163.75,No
dfed2c43-e256-46dc-8f54-86b7c7b5b2bc,Male,25,Standard,Yearly,Bank Transfer,98.99,1385.86,No
bfddc3d9-9ee3-4c2a-b94d-62046808593f,Female,69,Basic,Quarterly,Credit Card,46.58,1071.34,No
3c9ad14c-ee0c-4eb5-acfe-db992790cebd,Male,27,Premium,Monthly,PayPal,86.33,1381.28,Yes
ccc56569-f9e8-4369-a999-b735dd56cc94,Female,46,Standard,Quarterly,Credit Card,83.57,1671.4,No
698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a,Male,19,Premium,Yearly,PayPal,34.13,170.65,No
ecab3301-bc8f-4d29-adea-94930658663a,Female,47,Basic,Quarterly,Credit Card,36.5,730,No
696608aa-ee49-4329-884a-7b28550a1b46,Female,41,Basic,Quarterly,Debit Card,53.87,754.18,No
bc2cbb0d-dd33-4cc7-ab7f-089acd5f4822,Female,34,Standard,Yearly,Credit Card,34.18,273.44,No
